Citance Number: 1 | Reference Article: W09-0621 | Citing Article: D12-1016 | Citation Marker Offset: '83' | Citation Marker: 2009.0 | Citation Offset: '83','84' | Citation Text: <S sid ="83" ssid = "12">GigaPairs has been derived from Gigaword using the pairwise similarity method on headlines presented by Wubben et al. (2009) </S> | Reference Offset: ['3'] | Reference Text: <S sid ="3" ssid = "3">We compare two methods of aligning headlines to construct such an aligned corpus of paraphrases, one based on clustering, and the other on pairwise similarity-based matching.</S> | Discourse Facet: Method_Citation | 
Citance Number: 1 | Reference Article: N09-1025 | Citing Article: P12-1001 | Citation Marker Offset: '147' | Citation Marker: Chiang et al., 2009 | Citation Offset: '147' | Citation Text: <S sid ="147" ssid = "64">Alternatively, by using the large- margin optimizer in (Chiang et al., 2009) and moving it into the for-each loop (lines 49), one can get an online algorithm such PMOMIRA.</S> | Reference Offset: ['14'] | Reference Text: <S sid ="14" ssid = "14">Our results add to a growing body of evidence (Watanabe et al., 2007; Chiang et al., 2008) that MIRA is preferable to MERT across languages and systems, even for very large-scale tasks.</S> | Discourse Facet: Method_Citation | 
Citance Number: 1 | Reference Article: N09-1025 | Citing Article: P13-1110 | Citation Marker Offset: '36' | Citation Marker: Chiang et al., 2009 | Citation Offset: '36' | Citation Text: <S sid ="36" ssid = "16">Online large-margin algorithms, such as MIRA, have also gained prominence in SMT, thanks to their ability to learn models in high-dimensional feature spaces (Watanabe et al., 2007; Chiang et al., 2009).</S> | Reference Offset: ['51'] | Reference Text: <S sid ="51" ssid = "24">We incorporate all our new features into a linear model (Och and Ney, 2002) and train them using MIRA (Crammer et al., 2006), following previous work (Watanabe et al., 2007; Chiang et al., 2008).</S> | Discourse Facet: Method_Citation | 
Citance Number: 2 | Reference Article: N09-1025 | Citing Article: P13-1110 | Citation Marker Offset: '102' | Citation Marker: Chiang et al., 2009 | Citation Offset: '102' | Citation Text: <S sid ="102" ssid = "56">task Corpus Sentences Tokens En Zh/Ar MT05 1082 35k 33k training 1M 23.7M 22.8M tune (MT06) 1797 55k 49k baselines: hypergraph-based MERT (Kumar et al., 2009), k-best variants of MIRA (Crammer et al., 2006; Chiang et al., 2009), PRO (Hopkins and May, 2011), and RAMPION (Gimpel and Smith, 2012).</S> | Reference Offset: ['14'] | Reference Text: <S sid ="14" ssid = "14">Our results add to a growing body of evidence (Watanabe et al., 2007; Chiang et al., 2008) that MIRA is preferable to MERT across languages and systems, even for very large-scale tasks.</S> | Discourse Facet: Method_Citation | 
Citance Number: 3 | Reference Article: N09-1025 | Citing Article: P13-1110 | Citation Marker Offset: '115' | Citation Marker: Chiang et al., 2009 | Citation Offset: '115' | Citation Text: <S sid ="115" ssid = "9">The bound constraint B was set to 1.4 The approximate sentence-level BLEU cost i is computed in a manner similar to (Chiang et al., 2009), namely, in the context of previous 1-best translations of the tuning set.</S> | Reference Offset: ['65'] | Reference Text: <S sid ="65" ssid = "38">Following Chiang et al. (2008), we calculate the sentence B scores in (1), (2), and (3) in the context of some previous 1-best translations.</S> | Discourse Facet: Method_Citation | 
Citance Number: 4 | Reference Article: N09-1025 | Citing Article: P13-1110 | Citation Marker Offset: '120' | Citation Marker: Chiang et al., 2009 | Citation Offset: '120' | Citation Text: <S sid ="120" ssid = "14">For experiments with a larger feature set, we introduced additional lexical and non-lexical sparse Boolean features of the form commonly found in the literature (Chiang et al., 2009; Watan 4 We also conducted an investigation into the setting of the B parameter.</S> | Reference Offset: ['23'] | Reference Text: <S sid ="23" ssid = "9">Another line of research (Watanabe et al., 2007; Chiang et al., 2008) tries to squeeze as many features as possible from a relatively small dataset.</S> | Discourse Facet: Method_Citation | 
Citance Number: 5 | Reference Article: N09-1025 | Citing Article: P28_n09 | Citation Marker Offset: '51' | Citation Marker: Chiang et al., 2009 | Citation Offset: '51' | Citation Text: <S sid ="51" ssid = "23">Recently, a simple method was presented in (Chiang eta!., 2009), which keeps partial English and Urdu words in the training data for alignment training.</S> | Reference Offset: ['29'] | Reference Text: <S sid ="29" ssid = "2">Hiero (Chiang, 2005) is a hierarchical, string-to- string translation system.</S> | Discourse Facet: Method_Citation | 
Citance Number: 6 | Reference Article: N09-1025 | Citing Article: P134_n09 | Citation Marker Offset: '27' | Citation Marker: Chiang et al., 2009 | Citation Offset: '27', '28' | Citation Text: <S sid ="27" ssid = "27">First, we used features proposed by Chiang et al. (2009):  phrase pair count bin features (bins 1, 2, 3, 45, 69, 10+)  target word insertion features  source word deletion features  word translation features  phrase length feature (source, target, both) Table 4:Sparse domain features When combining the domain features and the other sparse features, we see roughly additive gains (Table 5). | Reference Offset: ['9'] | Reference Text: <S sid ="9" ssid = "9">We add more than 250 features to improve a syntax- based MT systemalready the highest-scoring single system in the NIST 2008 ChineseEnglish common-data trackby +1.1 B. We also add more than 10,000 features to Hiero (Chiang, 2005) and obtain a +1.5 B improvement.</S> | Discourse Facet: Method_Citation | 
Citance Number: 7 | Reference Article: N09-1025 | Citing Article: Pmert_n09 | Citation Marker Offset: '15' | Citation Marker: Chiang et al., 2009 | Citation Offset: '15' | Citation Text: <S sid ="15" ssid = "15">These challenges have prompted some researchers to move away from MERT, in favor of linearly decomposable approximations of the evaluation metric (Chiang et al., 2009; Hopkins and May, 2011; Cherry and Foster, 2012), which correspond to easier optimization problems and which naturally incorporate regularization.</S> | Reference Offset: ['9'] | Reference Text: <S sid ="9" ssid = "9">We add more than 250 features to improve a syntax- based MT systemalready the highest-scoring single system in the NIST 2008 ChineseEnglish common-data trackby +1.1 B. We also add more than 10,000 features to Hiero (Chiang, 2005) and obtain a +1.5 B improvement.</S> | Discourse Facet: Method_Citation | 
Citance Number: 8 | Reference Article: N09-1025 | Citing Article: Pmert_n09 | Citation Marker Offset: '16' | Citation Marker: Chiang et al., 2009 | Citation Offset: '16' | Citation Text: <S sid ="16" ssid = "16">In particular, recent work (Chiang et al., 2009) has shown that adding thousands or tens of thousands of features can improve MT quality when weights are optimized using a margin-based approximation.</S> | Reference Offset: ['9'] | Reference Text: <S sid ="9" ssid = "9">We add more than 250 features to improve a syntax- based MT systemalready the highest-scoring single system in the NIST 2008 ChineseEnglish common-data trackby +1.1 B. We also add more than 10,000 features to Hiero (Chiang, 2005) and obtain a +1.5 B improvement.</S> | Discourse Facet: Method_Citation | 
Citance Number: 9 | Reference Article: N09-1025 | Citing Article: PMTS_n09 | Citation Marker Offset: '218' | Citation Marker: Chiang et al., 2009 | Citation Offset: '218' | Citation Text: <S sid ="218" ssid = "109">This observation conrms previous ndings (Chiang et al., 2009) regarding the inability of the MERT algorithm to converge on an optimal set of weights for a reasonably large number of parameters.</S> | Reference Offset: ['51'] | Reference Text: <S sid ="51" ssid = "24">We incorporate all our new features into a linear model (Och and Ney, 2002) and train them using MIRA (Crammer et al., 2006), following previous work (Watanabe et al., 2007; Chiang et al., 2008).</S> | Discourse Facet: Method_Citation | 
Citance Number: 10 | Reference Article: N09-1025 | Citing Article: PMTS_n09 | Citation Marker Offset: '245' | Citation Marker: Chiang et al., 2009 | Citation Offset: '245' | Citation Text: <S sid ="245" ssid = "136">The MERT algorithm is known to be unable to learn optimal weights for large parameter settings (Chiang et al., 2009).</S> | Reference Offset: ['65'] | Reference Text: <S sid ="65" ssid = "38">Following Chiang et al. (2008), we calculate the sentence B scores in (1), (2), and (3) in the context of some previous 1-best translations.</S> | Discourse Facet: Method_Citation | 
Citance Number: 11 | Reference Article: N09-1025 | Citing Article: PMTS_n09 | Citation Marker Offset: '252' | Citation Marker: Chiang et al., 2009 | Citation Offset: '252' | Citation Text: <S sid ="252" ssid = "6">We would also like to look into alternative tuning techniques, especially ones based on the MIRA algorithm to improve the quality of log-linear mixture adaptation in large parameter settings (Chiang et al., 2009).</S> | Reference Offset: ['51'] | Reference Text: <S sid ="51" ssid = "24">We incorporate all our new features into a linear model (Och and Ney, 2002) and train them using MIRA (Crammer et al., 2006), following previous work (Watanabe et al., 2007; Chiang et al., 2008).</S> | Discourse Facet: Method_Citation | 
Citance Number: 12 | Reference Article: N09-1025 | Citing Article: PSMPT_n09 | Citation Marker Offset: '73' | Citation Marker: Chiang et al., 2009 | Citation Offset: '73', '74' | Citation Text: <S sid ="73" ssid = "6">Chiang et w(X  (, ,  )) = ii (2) i al. 2009) define new translational features using neighbouring word contexts of the source phrase, which are directly integrated into the translation model of Hiero system.</S> | Reference Offset: ['29'] | Reference Text: <S sid ="29" ssid = "2">Hiero (Chiang, 2005) is a hierarchical, string-to- string translation system.</S> | Discourse Facet: Method_Citation | 
Citance Number: 13 | Reference Article: N09-1025 | Citing Article: PTASL_n09 | Citation Marker Offset: '79' | Citation Marker: Chiang et al., 2009 | Citation Offset: '79' | Citation Text: <S sid ="79" ssid = "79">For example, Chiang et al. [3] designed many target-side syntax features to improve the string-to-tree translation.</S> | Reference Offset: ['51'] | Reference Text: <S sid ="51" ssid = "24">We incorporate all our new features into a linear model (Och and Ney, 2002) and train them using MIRA (Crammer et al., 2006), following previous work (Watanabe et al., 2007; Chiang et al., 2008).</S> | Discourse Facet: Method_Citation | 
Citance Number: 14 | Reference Article: N09-1025 | Citing Article: PTASL_n09 | Citation Marker Offset: '86' | Citation Marker: Chiang et al., 2009 | Citation Offset: '86' | Citation Text: <S sid ="86" ssid = "86">Moreover, to establish a strong baseline, we also include the discount feature used by Chiang et al. [3] in our baseline string-to-tree model.</S> | Reference Offset: ['29'] | Reference Text: <S sid ="29" ssid = "2">Hiero (Chiang, 2005) is a hierarchical, string-to- string translation system.</S> | Discourse Facet: Method_Citation | 
Citance Number: 15 | Reference Article: N09-1025 | Citing Article: W10-1757 | Citation Marker Offset: '48' | Citation Marker: Chiang et al., 2009 | Citation Offset: '48' | Citation Text: <S sid ="48" ssid = "25">When the number of features is too large, even popular reranking algorithms such as SVM (Shen et al., 2004) and MIRA (Watanabe et al., 2007; Chiang et al., 2009) may fail.</S> | Reference Offset: ['23'] | Reference Text: <S sid ="23" ssid = "9">Another line of research (Watanabe et al., 2007; Chiang et al., 2008) tries to squeeze as many features as possible from a relatively small dataset.</S> | Discourse Facet: Method_Citation | 
Citance Number: 16 | Reference Article: N09-1025 | Citing Article: W10-1757 | Citation Marker Offset: '209' | Citation Marker: Chiang et al., 2009 | Citation Offset: '209' | Citation Text: <S sid ="209" ssid = "25">Recent work by (Chiang et al., 2009) describes new features for hierarchical phrase-based MT, while (Collins and Koo, 2005) describes features for parsing.</S> | Reference Offset: ['32', '33'] | Reference Text: <S sid ="32" ssid = "5">Two of the features are n-gram language models, which require intersecting the synchronous CFG with finite-state automata representing the language models. This grammar can be parsed efficiently using cube pruning (Chiang, 2007). | Discourse Facet: Method_Citation | 
Citance Number: 17 | Reference Article: N09-1025 | Citing Article: W10-1761 | Citation Marker Offset: '53' | Citation Marker: Chiang et al., 2009 | Citation Offset: '53', '54' | Citation Text: <S sid ="53" ssid = "30">Chiang et al. (2009) added thousands of linguistically-motivated features to hierarchical and syntax systems, however, the source syntax features are derived from the research above.</S> | Reference Offset: ['9'] | Reference Text: <S sid ="9" ssid = "9">We add more than 250 features to improve a syntax- based MT systemalready the highest-scoring single system in the NIST 2008 ChineseEnglish common-data trackby +1.1 B. We also add more than 10,000 features to Hiero (Chiang, 2005) and obtain a +1.5 B improvement.</S> | Discourse Facet: Method_Citation | 
Citance Number: 18 | Reference Article: N09-1025 | Citing Article: W10-1761 | Citation Marker Offset: '92' | Citation Marker: Chiang et al., 2009 | Citation Offset: '92' | Citation Text: <S sid ="92" ssid = "25">A non-exhaustive sample is given below: [X  Ls, i, i] Terminal Symbol (X  Ls)  G X  ADJ A1 Akt # X1 Act N P  N E1 X2 # X1 X2 T OP  N E1 letzter X2 # X1 Last X2 [X    Fj,k Ls, i, j] [X  Fj,k  Ls, i, j + 1] Non-Terminal Symbol [X    Fj,k Ls, i, j] [X, j, Rj,k ] [X  Fj,k  Ls, i, Rj,k ] [X    Ls, i, Ri,j ] [Fi,j = Ls] the log function (hm = log hm) [X  Ls, i, Ri,j ] log p(tPIPEs) = m hm(t, s) (3) m Goal [X  Ls, 0, PIPEV PIPE  1] An advanta ge of our model over (Marto n and Resnik, 2008; Chiang et al., 2008, 2009) is the number of feature function s remains the same,This model allows translation rules to take ad vantage of both syntactic label and word context.</S> | Reference Offset: ['23'] | Reference Text: <S sid ="23" ssid = "9">Another line of research (Watanabe et al., 2007; Chiang et al., 2008) tries to squeeze as many features as possible from a relatively small dataset.</S> | Discourse Facet: Method_Citation | 
Citance Number: 19 | Reference Article: N09-1025 | Citing Article: W10-1761 | Citation Marker Offset: '97' | Citation Marker: Chiang et al., 2009 | Citation Offset: '97' | Citation Text: <S sid ="97" ssid = "30">The model also differs from (Marton and Resnik, 2008; Chiang et al., 2008, 2009) by adding informative labels to rule non-terminals and requiring them to match the source span label.</S> | Reference Offset: ['32','33'] | Reference Text: <S sid ="32" ssid = "5">Two of the features are n-gram language models, which require intersecting the synchronous CFG with finite-state automata representing the language models. This grammar can be parsed efficiently using cube pruning (Chiang, 2007). | Discourse Facet: Method_Citation | 
Citance Number: 1 | Reference Article: N09-1001 | Citing Article: N09_csl2013 | Citation Marker Offset: '147' | Citation Marker: 2009.0 | Citation Offset: '146', '147' | Citation Text: <S sid ="146" ssid = "86">The work closest to ours is the subjectivity word sense disambiguation method proposed in Akkaya et al.</S>			<S sid ="147" ssid = "87">(2009), where on a set of 83 English words, an accuracy of 88% was observed; and the method proposed in Su and Markert (2009), where an accuracy of 84% was obtained on another dataset of 298 words.</S> | Reference Offset: ['126', '127', '133', '207'] | Reference Text: <S sid ="126" ssid = "39">We conduct the experiments on two different gold standard datasets.</S>			<S sid ="127" ssid = "40">One is the MicroWNOp corpus, ntu.edu.tw/cjlin/libsvm/.</S><S sid ="133" ssid = "5">It includes 298 words with 703 objective and 358 subjective WordNet senses.</S><S sid ="207" ssid = "49">Our best result from Mincuts is significantly better at 84.6% (see LRMSL in Table 2).</S> | Discourse Facet: Results_Citation | 
Citance Number: 2 | Reference Article: N09-1001 | Citing Article: N09_qwn | Citation Marker Offset: '22' | Citation Marker: Su and Markert, 2009 | Citation Offset: '22' | Citation Text: <S sid ="22" ssid = "22">Although it can be used in its current form for data-driven Sentiment Analysis (Pang et al., 2002; Pang and Lee, 2004; Kim and Hovy, 2004; Popescu and Etzioni, 2005; Su and Markert, 2009; DanescuNiculescu- Mizil et al., 2009), or for lexical sentiment analysis tasks (Strapparava and Mihalcea, 2007; Su and Markert, 2009), it could also be used as a training set for supervised classifiers that would subsequently be applied for the improvement of Q-WordNet.</S> | Reference Offset: ['58', '59' 60'] | Reference Text: <S sid ="58" ssid = "11">Also, WordNet connections between different parts of the WordNet hierarchy can also be sparse, leading to relatively isolated senses in a graph in a supervised framework.</S>			<S sid ="59" ssid = "12">Semi-supervised Mincuts allow us to import unlabeled data that can serve as bridges to isolated components.</S>			<S sid ="60" ssid = "13">More importantly, as the unlabeled data can be chosen to be related to the labeled and test data, they might help pull test data to the right cuts (categories).</S> | Discourse Facet: Method_Citation | 
Citance Number: 3 | Reference Article: N09-1001 | Citing Article: N09_qwn | Citation Marker Offset: '22' | Citation Marker: Su and Markert, 2009 | Citation Offset: '22' | Citation Text: <S sid ="22" ssid = "22">Although it can be used in its current form for data-driven Sentiment Analysis (Pang et al., 2002; Pang and Lee, 2004; Kim and Hovy, 2004; Popescu and Etzioni, 2005; Su and Markert, 2009; DanescuNiculescu- Mizil et al., 2009), or for lexical sentiment analysis tasks (Strapparava and Mihalcea, 2007; Su and Markert, 2009), it could also be used as a training set for supervised classifiers that would subsequently be applied for the improvement of Q-WordNet.</S> | Reference Offset: ['20'] | Reference Text: <S sid ="20" ssid = "20">Qc 2009 Association for Computational Linguistics We propose a semi-supervised approach based on minimum cut in a lexical relation graph to assign subjectivity (subjective/objective) labels to word senses.2 Our algorithm outperforms supervised minimum cuts and standard supervised, non-graph classification algorithms (like SVM), reducing the error rate by up to 40%.</S> | Discourse Facet: Method_Citation | 
Citance Number: 4 | Reference Article: N09-1001 | Citing Article: N09prod | Citation Marker Offset: '35' | Citation Marker: 5.0 | Citation Offset: '35' | Citation Text: <S sid ="35" ssid = "5">Pang[4] and Su[5] both optimized their multi-classification results using the Mincut model.</S> | Reference Offset: ['4'] | Reference Text: <S sid ="4" ssid = "4">We propose a semi-supervised minimum cut framework that makes use of both WordNet definitions and its relation structure.</S> | Discourse Facet: Method_Citation | 
Citance Number: 5 | Reference Article: N09-1001 | Citing Article: N09prod | Citation Marker Offset: '121' | Citation Marker: 5.0 | Citation Offset: '121' | Citation Text: <S sid ="121" ssid = "25">Inspired by work of Pang[4] and Su[5], we also use Minimum cut (Mincut) model to optimize the Two-stage SVM result.</S> | Reference Offset: ['4'] | Reference Text: <S sid ="4" ssid = "4">We propose a semi-supervised minimum cut framework that makes use of both WordNet definitions and its relation structure.</S> | Discourse Facet: Aim_citation | 
Citance Number: 6 | Reference Article: N09-1001 | Citing Article: N15-1071 | Citation Marker Offset: '147' | Citation Marker: 2009.0 | Citation Offset: '147' | Citation Text: <S sid ="147" ssid = "36">The MWE productions seem to overlap with well- known linguistic phenomena  consider Fahrni and Klenner (2008) and their claim that most adjectives have a polarity that is dependent on the target they modify instead of having a prior polarity that holds independently of the target, or the observation of Su and Markert (2009) that sentiment should be dependent on word senses instead of word forms (which would capture a large number of examples within the expression strengthening category).</S> | Reference Offset: ['1'] | Reference Text: <S sid ="1" ssid = "1">We supplement WordNet entries with information on the subjectivity of its word senses.</S> | Discourse Facet: Method_Citation | 
Citance Number: 7 | Reference Article: N09-1001 | Citing Article: P101167 | Citation Marker Offset: '146' | Citation Marker: 2009.0 | Citation Offset: '146' | Citation Text: <S sid ="146" ssid = "96">Su and Markert (2009) propose a semi-supervised minimum cut framework to label word sense entries in WordNet with subjectivity information.</S> | Reference Offset: ['104', '105' ,'106'] | Reference Text: <S sid ="104" ssid = "17">Assigning weights to WordNet relations: We connect two vertices that are linked by one of the ten WordNet relations in Table 1 via an edge.</S>			<S sid ="105" ssid = "18">Not all WordNet relations we use are subjectivity- preserving to the same degree: for example, hyponyms (such as simpleton) of objective senses (such as person) do not have to be objective.</S>			<S sid ="106" ssid = "19">However, we aim for high graph connectivity and we can assign different weights to different relations 4 We employ LIBSVM, available at http://www.csie..</S> | Discourse Facet: Method_Citation | 
Citance Number: 8 | Reference Article: N09-1001 | Citing Article: P1018 | Citation Marker Offset: '10 | Citation Marker: 2009.0 | Citation Offset: '10' | Citation Text: <S sid ="10" ssid = "10">In more recent work it has been argued that the classification of subjectivity vs. objectivity needs to be done independently from the polarity identification (Gyamfi et al., 2009; Su and Markert, 2009).</S> | Reference Offset: ['72', '73', '74', '75'] | Reference Text: <S sid ="72" ssid = "25">We define two vertices s (source) and t (sink),.</S>			<S sid ="73" ssid = "26">which correspond to the subjective and objective category, respectively.</S>			<S sid ="74" ssid = "27">Following the definition in Blum and Chawla (2001), we call the vertices s and t classification vertices, and all other vertices (labeled, test, and unlabeled data) example vertices.</S>			<S sid ="75" ssid = "28">Each example vertex corresponds to one WordNet sense and is connected to both s and t via a weighted edge.</S> | Discourse Facet: Method_Citation | 
Citance Number: 9 | Reference Article: N09-1001 | Citing Article: P1018 | Citation Marker Offset: '180' | Citation Marker: 2009.0 | Citation Offset: '180' | Citation Text: <S sid ="180" ssid = "2">For example, Su and Markert (2009) make use of both Wordnet definitions and Wordnet relations and achieve an accuracy of 84.6% on all parts-of-speech.</S> | Reference Offset: ['4', '207'] | Reference Text: <S sid ="4" ssid = "4">We propose a semi-supervised minimum cut framework that makes use of both WordNet definitions and its relation structure.</S><S sid ="207" ssid = "49">Our best result from Mincuts is significantly better at 84.6% (see LRMSL in Table 2).</S> | Discourse Facet: ['Method_Citation', 'Results_Citation'] | 
Citance Number: 10 | Reference Article: N09-1001 | Citing Article: PEAAI_n09 | Citation Marker Offset: '70' | Citation Marker: 2009.0 | Citation Offset: '70' | Citation Text: <S sid ="70" ssid = "30">Semi-supervised techniques on text mining were applied by Fangzhong and Markert (2009).</S> | Reference Offset: ['65'] | Reference Text: <S sid ="65" ssid = "18">We propose semi-supervised mincuts for subjectivity recognition on senses for several reasons.</S> | Discourse Facet: Method_Citation | 
Citance Number: 11 | Reference Article: N09-1001 | Citing Article: Pproc2014_n09 | Citation Marker Offset: '33' | Citation Marker: 2009.0 | Citation Offset: '33' | Citation Text: <S sid ="33" ssid = "4">The antonymous classes of each are -effect events: destroying the building has a negative effect on the building; demand decreasing has a negative effect on demand; and killing Bill has a negative effect on Bill.4 While sentiment (Esuli and Sebastiani, 2006; Wilson et al., 2005; Su and Markert, 2009) and connotation lexicons (Feng et al., 2011; Kang et al., 2014) are related, sentiment, connotation, and +/-effects are not the same; a single event may have different sentiment and +/-effect polarities, for example.</S> | Reference Offset: ['20'] | Reference Text: <S sid ="20" ssid = "20">Qc 2009 Association for Computational Linguistics We propose a semi-supervised approach based on minimum cut in a lexical relation graph to assign subjectivity (subjective/objective) labels to word senses.2 Our algorithm outperforms supervised minimum cuts and standard supervised, non-graph classification algorithms (like SVM), reducing the error rate by up to 40%.</S> | Discourse Facet: Method_Citation | 
Citance Number: 12 | Reference Article: N09-1001 | Citing Article: Pproc2014_n09 | Citation Marker Offset: '70' | Citation Marker: 2009.0 | Citation Offset: '70' | Citation Text: <S sid ="70" ssid = "16">Su and Markert (2009) adopt a semi-supervised mincut method to recognize the subjectivity of word senses.</S> | Reference Offset: ['20'] | Reference Text: <S sid ="20" ssid = "20">Qc 2009 Association for Computational Linguistics We propose a semi-supervised approach based on minimum cut in a lexical relation graph to assign subjectivity (subjective/objective) labels to word senses.2 Our algorithm outperforms supervised minimum cuts and standard supervised, non-graph classification algorithms (like SVM), reducing the error rate by up to 40%.</S> | Discourse Facet: Method_Citation | 
Citance Number: 13 | Reference Article: N09-1001 | Citing Article: W11-0311 | Citation Marker Offset: '231' | Citation Marker: 2009.0 | Citation Offset: '231' | Citation Text: <S sid ="231" ssid = "1">One related line of research is to automatically assign subjectivity and/or polarity labels to word senses in a dictionary (Valitutti et al., 2004; An- dreevskaia and Bergler, 2006; Wiebe and Mihalcea, 2006; Esuli and Sebastiani, 2007; Su and Markert, 2009).</S> | Reference Offset: ['1'] | Reference Text: <S sid ="1" ssid = "1">We supplement WordNet entries with information on the subjectivity of its word senses.</S> | Discourse Facet: Method_Citation | 
Citance Number: 1 | Reference Article: D09-1023 | Citing Article: D09-1086 | Citation Marker Offset: '78' | Citation Marker: Gimpel and Smith, 2009 | Citation Offset: '78' | Citation Text: <S sid ="78" ssid = "14">In that paper, QG was applied to word alignment and has since found applications in question answering (Wang et al., 2007), paraphrase detection (Das and Smith, 2009), and machine translation (Gimpel and Smith, 2009).</S> | Reference Offset: ['17'] | Reference Text: <S sid ="17" ssid = "17">We compare lexical phrase and dependency syntax features, as well as a novel com 2 To date, QG has been used for word alignment (Smith and Eisner, 2006), adaptation and projection in parsing (Smith and Eisner, 2009), and various monolingual recognition and scoring tasks (Wang et al., 2007; Das and Smith, 2009); this paper represents its first application to MT. 219 Proceedings of the 2009 Conference on Empirical Methods in Natural Language Processing, pages 219228, Singapore, 67 August 2009.</S> | Discourse Facet: Method_Citation | 
Citance Number: 3 | Reference Article: D09-1023 | Citing Article: D11-1044 | Citation Marker Offset: '1' | Citation Marker: Gimpel and Smith, 2009 | Citation Offset: '1' | Citation Text: <S sid ="1" ssid = "1">We present a quasi-synchronous dependency grammar (Smith and Eisner, 2006) for machine translation in which the leaves of the tree are phrases rather than words as in previous work (Gimpel and Smith, 2009).</S> | Reference Offset: ['17'] | Reference Text: <S sid ="17" ssid = "17">We compare lexical phrase and dependency syntax features, as well as a novel com 2 To date, QG has been used for word alignment (Smith and Eisner, 2006), adaptation and projection in parsing (Smith and Eisner, 2009), and various monolingual recognition and scoring tasks (Wang et al., 2007; Das and Smith, 2009); this paper represents its first application to MT. 219 Proceedings of the 2009 Conference on Empirical Methods in Natural Language Processing, pages 219228, Singapore, 67 August 2009.</S> | Discourse Facet: Method_Citation | 
Citance Number: 4 | Reference Article: D09-1023 | Citing Article: D11-1044 | Citation Marker Offset: '16' | Citation Marker: Gimpel and Smith, 2009 | Citation Offset: '16' | Citation Text: <S sid ="16" ssid = "16">Quasi-synchronous grammar (QG) provides this backbone (Smith and Eisner, 2006); we describe a coarse-to-fine approach for decoding within this framework, advancing substantially over earlier QG machine translation systems (Gimpel and Smith, 2009).</S> | Reference Offset: ['17'] | Reference Text: <S sid ="17" ssid = "17">We compare lexical phrase and dependency syntax features, as well as a novel com 2 To date, QG has been used for word alignment (Smith and Eisner, 2006), adaptation and projection in parsing (Smith and Eisner, 2009), and various monolingual recognition and scoring tasks (Wang et al., 2007; Das and Smith, 2009); this paper represents its first application to MT. 219 Proceedings of the 2009 Conference on Empirical Methods in Natural Language Processing, pages 219228, Singapore, 67 August 2009.</S> | Discourse Facet: Result_Citation | 
Citance Number: 5 | Reference Article: D09-1023 | Citing Article: D11-1044 | Citation Marker Offset: '23' | Citation Marker: Gimpel and Smith, 2009 | Citation Offset: '23' | Citation Text: <S sid ="23" ssid = "1">We previously applied quasi-synchronous grammar to machine translation (Gimpel and Smith, 2009), but that system performed translation fundamentally at the word level.</S> | Reference Offset: ['17'] | Reference Text: <S sid ="17" ssid = "17">We compare lexical phrase and dependency syntax features, as well as a novel com 2 To date, QG has been used for word alignment (Smith and Eisner, 2006), adaptation and projection in parsing (Smith and Eisner, 2009), and various monolingual recognition and scoring tasks (Wang et al., 2007; Das and Smith, 2009); this paper represents its first application to MT. 219 Proceedings of the 2009 Conference on Empirical Methods in Natural Language Processing, pages 219228, Singapore, 67 August 2009.</S> | Discourse Facet: Method_Citation | 
Citance Number: 6 | Reference Article: D09-1023 | Citing Article: D11-1044 | Citation Marker Offset: '41' | Citation Marker: Gimpel and Smith, 2009 | Citation Offset: '41' | Citation Text: <S sid ="41" ssid = "17">We denote this grammar by Gs,s ; its (weighted) language is the set of translations of s. Quasi-synchronous grammar makes no restrictions on the form of the target monolingual grammar, though dependency grammars have been used in most previous applications of QG (Wang et al., 2007; Das and Smith, 2009; Smith and Eisner, 2009), including previous work in MT (Smith and Eisner, 2006; Gimpel and Smith, 2009).</S> | Reference Offset: ['17'] | Reference Text: <S sid ="17" ssid = "17">We compare lexical phrase and dependency syntax features, as well as a novel com 2 To date, QG has been used for word alignment (Smith and Eisner, 2006), adaptation and projection in parsing (Smith and Eisner, 2009), and various monolingual recognition and scoring tasks (Wang et al., 2007; Das and Smith, 2009); this paper represents its first application to MT. 219 Proceedings of the 2009 Conference on Empirical Methods in Natural Language Processing, pages 219228, Singapore, 67 August 2009.</S> | Discourse Facet: Method_Citation | 
Citance Number: 7 | Reference Article: D09-1023 | Citing Article: D11-1044 | Citation Marker Offset: '146' | Citation Marker: Gimpel and Smith, 2009 | Citation Offset: '146' | Citation Text: <S sid ="146" ssid = "6">For a QPDG model, decoding consists of finding the highest-scoring tuple (t, , , , a) for an in put sentence s and its parse s, i.e., finding the most probable derivation under the s/s-specific grammar Gs,s . We follow Gimpel and Smith (2009) in constructing a lattice to represent Gs,s and using lattice parsing to search for the best derivation, but we construct the lattice differently and employ a coarse-to- fine strategy (Petrov, 2009) to speed up decoding.</S> | Reference Offset: ['260'] | Reference Text: <S sid ="260" ssid = "2">Our novel decoder is based on efficient DP-based QG lattice parsing extended to handle non-local features using generic techniques that also support efficient parameter estimation.</S> | Discourse Facet: Method_Citation | 
